,longitude,latitude,housing_median_age,total_rooms,population,households,median_income,median_house_value,ocean_proximity_<1h ocean,ocean_proximity_inland,ocean_proximity_island,ocean_proximity_near bay,ocean_proximity_near ocean
0,-122.23,37.88,41,880,322,126,8.013024999999999,452600.0,0,0,0,1,0
1,-122.22,37.86,21,5698,2401,1092,8.013024999999999,358500.0,0,0,0,1,0
2,-122.24,37.85,52,1467,496,177,7.2574,352100.0,0,0,0,1,0
3,-122.25,37.85,52,1274,558,219,5.6431,341300.0,0,0,0,1,0
4,-122.25,37.85,52,1627,565,259,3.8462,342200.0,0,0,0,1,0
5,-122.25,37.85,52,919,413,193,4.0368,269700.0,0,0,0,1,0
6,-122.25,37.84,52,2535,1094,514,3.6591,299200.0,0,0,0,1,0
7,-122.25,37.84,52,3104,1157,647,3.12,241400.0,0,0,0,1,0
8,-122.26,37.84,42,2555,1206,595,2.0804,226700.0,0,0,0,1,0
9,-122.25,37.84,52,3549,1551,714,3.6912,261100.0,0,0,0,1,0
10,-122.26,37.85,52,2202,910,402,3.2031,281500.0,0,0,0,1,0
11,-122.26,37.85,52,3503,1504,734,3.2705,241800.0,0,0,0,1,0
12,-122.26,37.85,52,2491,1098,468,3.075,213500.0,0,0,0,1,0
13,-122.26,37.84,52,696,345,174,2.6736,191300.0,0,0,0,1,0
14,-122.26,37.85,52,2643,1212,620,1.9167,159200.0,0,0,0,1,0
15,-122.26,37.85,50,1120,697,264,2.125,140000.0,0,0,0,1,0
16,-122.27,37.85,52,1966,793,331,2.775,152500.0,0,0,0,1,0
17,-122.27,37.85,52,1228,648,303,2.1202,155500.0,0,0,0,1,0
18,-122.26,37.84,50,2239,990,419,1.9911,158700.0,0,0,0,1,0
19,-122.27,37.84,52,1503,690,275,2.6033,162900.0,0,0,0,1,0
20,-122.27,37.85,40,751,409,166,1.3578,147500.0,0,0,0,1,0
21,-122.27,37.85,42,1639,929,366,1.7135,159800.0,0,0,0,1,0
22,-122.27,37.84,52,2436,1015,478,1.725,113900.0,0,0,0,1,0
23,-122.27,37.84,52,1688,853,325,2.1806,99700.0,0,0,0,1,0
24,-122.27,37.84,52,2224,1006,422,2.6,132600.0,0,0,0,1,0
25,-122.28,37.85,41,535,317,119,2.4038,107500.0,0,0,0,1,0
26,-122.28,37.85,49,1130,607,239,2.4597,93800.0,0,0,0,1,0
27,-122.28,37.85,52,1898,1102,397,1.808,105500.0,0,0,0,1,0
28,-122.28,37.84,50,2082,1131,473,1.6424,108900.0,0,0,0,1,0
29,-122.28,37.84,52,729,395,155,1.6875,132000.0,0,0,0,1,0
30,-122.28,37.84,49,1916,863,378,1.9274,122300.0,0,0,0,1,0
31,-122.28,37.84,52,2153,1168,441,1.9615,115200.0,0,0,0,1,0
32,-122.27,37.84,48,1922,1026,335,1.7969,110400.0,0,0,0,1,0
33,-122.27,37.83,49,1655,754,329,1.375,104900.0,0,0,0,1,0
34,-122.27,37.83,51,2665,1258,536,2.7303,109700.0,0,0,0,1,0
35,-122.27,37.83,49,1215,570,264,1.4861,97200.0,0,0,0,1,0
36,-122.27,37.83,48,1798,987,374,1.0972,104500.0,0,0,0,1,0
37,-122.28,37.83,52,1511,901,403,1.4103,103900.0,0,0,0,1,0
38,-122.26,37.83,52,1470,689,309,3.48,191400.0,0,0,0,1,0
39,-122.26,37.83,52,2432,1377,696,2.5898,176000.0,0,0,0,1,0
40,-122.26,37.83,52,1665,946,395,2.0978,155400.0,0,0,0,1,0
41,-122.26,37.83,51,936,517,249,1.2852,150000.0,0,0,0,1,0
42,-122.26,37.84,49,713,462,189,1.025,118800.0,0,0,0,1,0
43,-122.26,37.84,52,950,467,198,3.9643,188800.0,0,0,0,1,0
44,-122.26,37.83,52,1443,660,292,3.0125,184400.0,0,0,0,1,0
45,-122.26,37.83,52,1656,718,382,2.6768,182300.0,0,0,0,1,0
46,-122.26,37.83,50,1125,616,304,2.026,142500.0,0,0,0,1,0
